epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8352,1.96422,2.08194,1.52041,0.11453,0.70069,0.16404,0.04949,2.13456,3.14206,1.67106,0.000651852,0.000651852,0.000651852
2,31.594,1.62759,1.17059,1.33735,0.59648,0.44575,0.482,0.16398,2.00353,2.09372,1.46125,0.00128589,0.00128589,0.00128589
3,46.456,1.55683,1.0846,1.293,0.69628,0.70866,0.72777,0.3084,1.7052,1.37465,1.33421,0.00188692,0.00188692,0.00188692
4,61.1667,1.51063,1.04302,1.27566,0.75111,0.74805,0.81473,0.41701,1.50982,1.15887,1.24616,0.0018515,0.0018515,0.0018515
5,75.4838,1.47966,0.99667,1.25764,0.84334,0.83966,0.89545,0.46743,1.48098,1.00824,1.20647,0.001802,0.001802,0.001802
6,90.1359,1.46481,0.98323,1.25498,0.73747,0.75971,0.80121,0.42926,1.42832,1.10737,1.19749,0.0017525,0.0017525,0.0017525
7,104.533,1.43895,0.96648,1.25348,0.8257,0.82795,0.89678,0.4904,1.41423,1.00859,1.18328,0.001703,0.001703,0.001703
8,119.015,1.43524,0.94729,1.23934,0.87059,0.87169,0.93143,0.50748,1.42864,0.97139,1.20442,0.0016535,0.0016535,0.0016535
9,132.938,1.42415,0.93877,1.24725,0.85601,0.85279,0.90998,0.47759,1.46856,0.96231,1.19395,0.001604,0.001604,0.001604
10,148.55,1.41611,0.93201,1.23231,0.83749,0.84326,0.90459,0.56197,1.21943,1.09203,1.10803,0.0015545,0.0015545,0.0015545
11,162.898,1.40443,0.90845,1.23289,0.84927,0.82376,0.90282,0.52276,1.38434,0.95781,1.17834,0.001505,0.001505,0.001505
12,176.909,1.39103,0.89168,1.2172,0.83998,0.83679,0.89919,0.50671,1.37599,0.94824,1.16364,0.0014555,0.0014555,0.0014555
13,191.012,1.39157,0.88078,1.21926,0.88781,0.88259,0.93578,0.57235,1.30205,0.82514,1.10259,0.001406,0.001406,0.001406
14,205.224,1.3737,0.87678,1.2157,0.88697,0.88302,0.93804,0.5515,1.33174,0.8932,1.12902,0.0013565,0.0013565,0.0013565
15,219.051,1.382,0.8805,1.21455,0.89844,0.90569,0.95032,0.56788,1.28506,0.8181,1.10111,0.001307,0.001307,0.001307
16,233.038,1.36905,0.86431,1.21801,0.90812,0.91729,0.9576,0.52808,1.40684,0.82613,1.15082,0.0012575,0.0012575,0.0012575
17,246.921,1.34916,0.84502,1.20275,0.88888,0.90584,0.94498,0.49312,1.50344,0.90621,1.20633,0.001208,0.001208,0.001208
18,260.835,1.3491,0.83417,1.19779,0.88989,0.89374,0.94251,0.57806,1.26174,0.79913,1.08457,0.0011585,0.0011585,0.0011585
